#,Symbol,Company,Index,Unnamed: 4,Unnamed: 5,Unnamed: 6
134.0,MMM,3M,S&P500,,,
135.0,AMT,American Tower,S&P500,,,
136.0,ICE,Intercontinental Exchange,S&P500,,,
137.0,MRSH,"Marsh & McLennan Companies, Inc.",S&P500,,,
138.0,ADP,Automatic Data Processing,S&P500,,,
139.0,ECL,Ecolab,S&P500,,,
140.0,RCL,Royal Caribbean Group,S&P500,,,
141.0,ITW,Illinois Tool Works,S&P500,,,
142.0,SNPS,Synopsys,S&P500,,,
143.0,EMR,Emerson Electric,S&P500,,,
144.0,CRH,CRH plc,S&P500,,,
145.0,REGN,Regeneron Pharmaceuticals,S&P500,,,
146.0,PWR,Quanta Services,S&P500,,,
147.0,CMI,Cummins,S&P500,,,
148.0,MNST,Monster Beverage,S&P500,,,
149.0,BK,BNY Mellon,S&P500,,,
150.0,DELL,Dell Technologies,S&P500,,,
151.0,CDNS,Cadence Design Systems,S&P500,,,
152.0,CTAS,Cintas,S&P500,,,
153.0,MCO,Moody's Corporation,S&P500,,,
154.0,ORLY,O'Reilly Auto Parts,S&P500,,,
155.0,CSX,CSX Corporation,S&P500,,,
156.0,ABNB,Airbnb,S&P500,,,
157.0,MSI,Motorola Solutions,S&P500,,,
158.0,CL,Colgate-Palmolive,S&P500,,,
159.0,SLB,Schlumberger,S&P500,,,
160.0,DASH,DoorDash,S&P500,,,
161.0,ELV,Elevance Health,S&P500,,,
162.0,TDG,TransDigm Group,S&P500,,,
163.0,MDLZ,Mondelez International,S&P500,,,
164.0,CI,Cigna,S&P500,,,
165.0,GM,General Motors,S&P500,,,
166.0,KMI,Kinder Morgan,S&P500,,,
167.0,HLT,Hilton Worldwide,S&P500,,,
168.0,WBD,Warner Bros. Discovery,S&P500,,,
169.0,NSC,Norfolk Southern Railway,S&P500,,,
170.0,COR,Cencora,S&P500,,,
171.0,AEP,American Electric Power,S&P500,,,
172.0,AON,Aon,S&P500,,,
173.0,APO,Apollo Global Management,S&P500,,,
174.0,TEL,TE Connectivity,S&P500,,,
175.0,HOOD,"Robinhood Markets, Inc.",S&P500,,,
176.0,RSG,Republic Services,S&P500,,,
177.0,PCAR,Paccar,S&P500,,,
178.0,EOG,EOG Resources,S&P500,,,
179.0,LHX,L3Harris,S&P500,,,
180.0,TFC,Truist Financial,S&P500,,,
181.0,TRV,Travelers Companies (The),S&P500,,,
182.0,SPG,Simon Property Group,S&P500,,,
183.0,ROST,Ross Stores,S&P500,,,
184.0,PSX,Phillips 66,S&P500,,,
185.0,APD,Air Products,S&P500,,,
186.0,AZO,AutoZone,S&P500,,,
187.0,BKR,Baker Hughes,S&P500,,,
188.0,VLO,Valero Energy,S&P500,,,
189.0,SRE,Sempra,S&P500,,,
190.0,O,Realty Income,S&P500,,,
191.0,DLR,Digital Realty,S&P500,,,
192.0,FTNT,Fortinet,S&P500,,,
193.0,AFL,Aflac,S&P500,,,
194.0,MPWR,Monolithic Power Systems,S&P500,,,
195.0,NXPI,NXP Semiconductors,S&P500,,,
196.0,VST,Vistra Corp.,S&P500,,,
197.0,MPC,Marathon Petroleum,S&P500,,,
198.0,URI,United Rentals,S&P500,,,
199.0,D,Dominion Energy,S&P500,,,
200.0,F,Ford Motor Company,S&P500,,,
201.0,AJG,Arthur J. Gallagher & Co.,S&P500,,,
202.0,OKE,ONEOK,S&P500,,,
203.0,ZTS,Zoetis,S&P500,,,
204.0,AME,Ametek,S&P500,,,
205.0,ALL,Allstate,S&P500,,,
206.0,CARR,Carrier Global,S&P500,,,
207.0,GWW,W. W. Grainger,S&P500,,,
208.0,PSA,Public Storage,S&P500,,,
209.0,FAST,Fastenal,S&P500,,,
210.0,TGT,Target Corporation,S&P500,,,
211.0,CAH,Cardinal Health,S&P500,,,
212.0,BDX,Becton Dickinson,S&P500,,,
213.0,MET,MetLife,S&P500,,,
214.0,FIX,"Comfort Systems USA, Inc.",S&P500,,,
215.0,CTVA,Corteva,S&P500,,,
216.0,OXY,Occidental Petroleum,S&P500,,,
217.0,TER,Teradyne,S&P500,,,
218.0,IDXX,Idexx Laboratories,S&P500,,,
219.0,EA,Electronic Arts,S&P500,,,
220.0,FANG,Diamondback Energy,S&P500,,,
221.0,TRGP,Targa Resources,S&P500,,,
222.0,CMG,Chipotle Mexican Grill,S&P500,,,
223.0,EXC,Exelon,S&P500,,,
224.0,FITB,Fifth Third Bancorp,S&P500,,,
225.0,XEL,Xcel Energy,S&P500,,,
226.0,ADSK,Autodesk,S&P500,,,
227.0,GRMN,Garmin,S&P500,,,
228.0,CVNA,Carvana Co.,S&P500,,,
229.0,DHI,D. R. Horton,S&P500,,,
230.0,CIEN,Ciena Corporation,S&P500,,,
231.0,ETR,Entergy,S&P500,,,
232.0,NDAQ,"Nasdaq, Inc.",S&P500,,,
233.0,EW,Edwards Lifesciences,S&P500,,,
234.0,DAL,Delta Air Lines,S&P500,,,
235.0,COIN,Coinbase Global,S&P500,,,
236.0,YUM,Yum! Brands,S&P500,,,
237.0,WAB,Wabtec,S&P500,,,
238.0,HSY,Hershey Company (The),S&P500,,,
239.0,ROK,Rockwell Automation,S&P500,,,
240.0,CCL,Carnival,S&P500,,,
241.0,CBRE,CBRE Group,S&P500,,,
242.0,SYY,Sysco,S&P500,,,
243.0,AIG,American International Group,S&P500,,,
244.0,AMP,Ameriprise Financial,S&P500,,,
245.0,PEG,Public Service Enterprise Group,S&P500,,,
246.0,ODFL,Old Dominion,S&P500,,,
247.0,MCHP,Microchip Technology,S&P500,,,
248.0,KR,Kroger,S&P500,,,
249.0,KEYS,Keysight Technologies,S&P500,,,
250.0,MLM,Martin Marietta Materials,S&P500,,,
251.0,EL,Estée Lauder Companies (The),S&P500,,,
252.0,NUE,Nucor,S&P500,,,
253.0,VTR,Ventas,S&P500,,,
254.0,DDOG,Datadog,S&P500,,,
255.0,PCG,PG&E Corporation,S&P500,,,
256.0,VMC,Vulcan Materials Company,S&P500,,,
257.0,KDP,Keurig Dr Pepper,S&P500,,,
258.0,MSCI,MSCI,S&P500,,,
259.0,EBAY,eBay,S&P500,,,
260.0,ED,Consolidated Edison,S&P500,,,
261.0,HIG,Hartford (The),S&P500,,,
262.0,LVS,Las Vegas Sands,S&P500,,,
263.0,NRG,NRG Energy,S&P500,,,
264.0,GEHC,GE HealthCare,S&P500,,,
265.0,PYPL,PayPal,S&P500,,,
266.0,CCI,Crown Castle,S&P500,,,
267.0,LYV,Live Nation Entertainment,S&P500,,,
268.0,EQT,EQT Corporation,S&P500,,,
269.0,RMD,ResMed,S&P500,,,
270.0,IR,Ingersoll Rand,S&P500,,,
271.0,WEC,WEC Energy Group,S&P500,,,
272.0,TTWO,Take-Two Interactive,S&P500,,,
273.0,UAL,United Airlines Holdings,S&P500,,,
274.0,HBAN,Huntington Bancshares,S&P500,,,
275.0,EME,"EMCOR Group, Inc.",S&P500,,,
276.0,WDAY,"Workday, Inc.",S&P500,,,
277.0,KMB,Kimberly-Clark,S&P500,,,
278.0,OTIS,Otis Worldwide,S&P500,,,
279.0,PRU,Prudential Financial,S&P500,,,
280.0,KVUE,Kenvue,S&P500,,,
281.0,ROP,Roper Technologies,S&P500,,,
282.0,MTB,M&T Bank,S&P500,,,
283.0,STT,State Street Corporation,S&P500,,,
284.0,ACGL,Arch Capital Group,S&P500,,,
285.0,CPRT,Copart,S&P500,,,
286.0,A,Agilent Technologies,S&P500,,,
287.0,AXON,Axon Enterprise,S&P500,,,
288.0,TPL,Texas Pacific Land Corporation,S&P500,,,
289.0,DG,Dollar General,S&P500,,,
290.0,IBKR,Interactive Brokers Group,S&P500,,,
291.0,FISV,"Fiserv, Inc.",S&P500,,,
292.0,PAYX,Paychex,S&P500,,,
293.0,WAT,Waters Corporation,S&P500,,,
294.0,IRM,Iron Mountain,S&P500,,,
295.0,ADM,Archer Daniels Midland,S&P500,,,
296.0,EXR,Extra Space Storage,S&P500,,,
297.0,XYZ,"Block, Inc.",S&P500,,,
298.0,VICI,Vici Properties,S&P500,,,
299.0,FICO,Fair Isaac,S&P500,,,
300.0,TPR,"Tapestry, Inc.",S&P500,,,
301.0,DOV,Dover Corporation,S&P500,,,
302.0,TDY,Teledyne Technologies,S&P500,,,
303.0,XYL,Xylem Inc.,S&P500,,,
304.0,RJF,Raymond James Financial,S&P500,,,
305.0,CTSH,Cognizant,S&P500,,,
306.0,AEE,Ameren,S&P500,,,
307.0,ULTA,Ulta Beauty,S&P500,,,
308.0,CBOE,Cboe Global Markets,S&P500,,,
309.0,DTE,DTE Energy,S&P500,,,
310.0,ATO,Atmos Energy,S&P500,,,
311.0,ROL,"Rollins, Inc.",S&P500,,,
312.0,HAL,Halliburton,S&P500,,,
313.0,CHTR,Charter Communications,S&P500,,,
314.0,FE,FirstEnergy,S&P500,,,
315.0,KHC,Kraft Heinz,S&P500,,,
316.0,LEN,Lennar,S&P500,,,
317.0,WTW,Willis Towers Watson,S&P500,,,
318.0,JBL,Jabil,S&P500,,,
319.0,HPE,Hewlett Packard Enterprise,S&P500,,,
320.0,PPG,PPG Industries,S&P500,,,
321.0,EIX,Edison International,S&P500,,,
322.0,STLD,Steel Dynamics,S&P500,,,
323.0,BIIB,Biogen,S&P500,,,
324.0,DXCM,Dexcom,S&P500,,,
325.0,IQV,IQVIA,S&P500,,,
326.0,CNP,CenterPoint Energy,S&P500,,,
327.0,HUBB,Hubbell Incorporated,S&P500,,,
328.0,MTD,Mettler Toledo,S&P500,,,
329.0,TSCO,Tractor Supply,S&P500,,,
330.0,CFG,Citizens Financial Group,S&P500,,,
331.0,PPL,PPL Corporation,S&P500,,,
332.0,ES,Eversource Energy,S&P500,,,
333.0,DVN,Devon Energy,S&P500,,,
334.0,ON,ON Semiconductor,S&P500,,,
335.0,ARES,Ares Management Corporation,S&P500,,,
336.0,STZ,Constellation Brands,S&P500,,,
337.0,NTRS,Northern Trust,S&P500,,,
338.0,PHM,PulteGroup,S&P500,,,
339.0,WRB,W. R. Berkley Corporation,S&P500,,,
340.0,DLTR,Dollar Tree,S&P500,,,
341.0,OMC,Omnicom Group,S&P500,,,
342.0,RF,Regions Financial Corporation,S&P500,,,
343.0,FSLR,First Solar,S&P500,,,
344.0,EXE,Expand Energy,S&P500,,,
345.0,WSM,Williams-Sonoma,S&P500,,,
346.0,LUV,Southwest Airlines,S&P500,,,
347.0,SYF,Synchrony Financial,S&P500,,,
348.0,SW,Smurfit WestRock,S&P500,,,
349.0,FIS,Fidelity National Information Services,S&P500,,,
350.0,VRSK,Verisk Analytics,S&P500,,,
351.0,CINF,Cincinnati Financial,S&P500,,,
352.0,AWK,American Water Works,S&P500,,,
